Date,AAPL,AMZN,GOOGL,JPM,MSFT,SPY
2023-05-08,170.8649444580078,105.83000183105469,106.82276916503906,128.0145721435547,300.8580322265625,396.16156005859375
2023-05-09,169.16122436523438,106.62000274658203,106.40647888183594,127.39816284179688,299.24969482421875,394.4242248535156
2023-05-10,170.9240264892578,110.19000244140625,110.76779174804688,127.46351623535156,304.4256286621094,396.2671203613281
2023-05-11,171.1111602783203,112.18000030517578,115.5454330444336,127.0619125366211,302.2812194824219,395.5760498046875
2023-05-12,170.18414306640625,110.26000213623047,116.47716522216797,125.24076843261719,301.1699523925781,395.0577087402344
2023-05-15,169.69105529785156,111.19999694824219,115.48595428466797,126.29608917236328,301.6475830078125,396.420654296875
2023-05-16,169.69105529785156,113.4000015258789,118.4595947265625,125.44622039794922,303.8699645996094,393.7716064453125
2023-05-17,170.302490234375,115.5,119.77790069580078,129.30337524414062,306.7420654296875,398.55157470703125
2023-05-18,172.62986755371094,118.1500015258789,121.75041961669922,130.28399658203125,311.1575927734375,402.390869140625
2023-05-19,172.73834228515625,116.25,121.68103790283203,129.98513793945312,310.9817810058594,401.8052978515625
2023-05-22,171.7916259765625,115.01000213623047,123.95089721679688,128.91111755371094,313.756103515625,401.9685363769531
2023-05-23,169.1881103515625,114.98999786376953,121.4827880859375,127.56621551513672,307.97296142578125,397.45733642578125
2023-05-24,169.4642333984375,116.75,119.8373794555664,126.39884185791016,306.59552001953125,394.57781982421875
2023-05-25,170.5983428955078,115.0,122.39469909667969,126.70703125,318.3865051269531,397.99481201171875
2023-05-26,173.0045928955078,120.11000061035156,123.5147705078125,127.89313507080078,325.19549560546875,403.1491394042969
2023-05-30,174.84878540039062,121.66000366210938,122.5830307006836,128.37876892089844,323.55426025390625,403.3027038574219
2023-05-31,174.79945373535156,120.58000183105469,121.7900619506836,126.74441528320312,320.7994689941406,401.0663146972656
2023-06-01,177.60020446777344,122.7699966430664,122.63258361816406,128.49082946777344,324.8925476074219,404.8768310546875
2023-06-02,178.44830322265625,124.25,123.5742416381836,131.18992614746094,327.6474304199219,410.7318420410156
2023-06-05,177.09725952148438,125.30000305175781,124.90245819091797,129.90109252929688,328.17498779296875,409.9447937011719
2023-06-06,176.73233032226562,126.61000061035156,126.19103240966797,130.1345672607422,325.9671630859375,410.8374328613281
2023-06-07,175.361572265625,121.2300033569336,121.4233169555664,131.39541625976562,315.9052734375,409.4168395996094
2023-06-08,178.07354736328125,124.25,121.06647491455078,131.4327392578125,317.7418212890625,411.8932189941406
2023-06-09,178.45814514160156,123.43000030517578,121.15569305419922,131.69422912597656,319.23638916015625,412.6322937011719
2023-06-12,181.24903869628906,126.56999969482422,122.55329132080078,131.68492126464844,324.17950439453125,416.37567138671875
2023-06-13,180.77565002441406,126.66000366210938,122.74163055419922,132.63751220703125,326.5630798339844,419.1208190917969
2023-06-14,181.40682983398438,126.41999816894531,122.5830307006836,132.14256286621094,329.5425720214844,419.619873046875
2023-06-15,183.4383087158203,127.11000061035156,123.99054718017578,133.6368408203125,340.0538330078125,424.8221740722656
2023-06-16,182.3634033203125,125.48999786376953,122.44427490234375,133.79559326171875,334.417236328125,423.37518310546875
2023-06-20,182.45213317871094,125.77999877929688,122.01803588867188,133.1138153076172,330.23614501953125,421.1785888671875
2023-06-21,181.4167022705078,124.83000183105469,119.49046325683594,132.9176788330078,325.8499450683594,419.02056884765625
2023-06-22,184.41465759277344,130.14999389648438,122.06758880615234,130.35873413085938,331.8578186035156,420.5331115722656
2023-06-23,184.09906005859375,129.3300018310547,121.26471710205078,129.67691040039062,327.2762145996094,417.35394287109375
2023-06-26,182.70858764648438,127.33000183105469,117.29987335205078,129.99449157714844,321.004638671875,415.6487121582031
2023-06-27,185.4600067138672,129.17999267578125,117.28996276855469,130.00381469726562,326.8366394042969,420.2055969238281
2023-06-28,186.63352966308594,129.0399932861328,119.12371063232422,129.4341278076172,328.0870056152344,420.41754150390625
2023-06-29,186.96885681152344,127.9000015258789,118.05319213867188,133.95437622070312,327.3054504394531,422.07452392578125
2023-06-30,191.28829956054688,130.36000061035156,118.64791107177734,135.83160400390625,332.66864013671875,427.0552978515625
2023-07-03,189.79917907714844,130.22000122070312,118.8461685180664,136.9242706298828,330.1775817871094,427.54669189453125
2023-07-05,188.684814453125,130.3800048828125,120.6799087524414,136.01214599609375,330.3338623046875,426.91082763671875
2023-07-06,189.1581573486328,128.36000061035156,119.05431365966797,134.6674346923828,333.3817443847656,423.56781005859375
2023-07-07,188.0437469482422,129.77999877929688,118.42986297607422,135.73001098632812,329.4253234863281,422.4984436035156
2023-07-10,186.00238037109375,127.12999725341797,115.42648315429688,136.49172973632812,324.159912109375,423.56781005859375
2023-07-11,185.47970581054688,128.77999877929688,116.11042785644531,138.62631225585938,324.78515625,426.2653503417969
2023-07-12,187.14633178710938,130.8000030517578,117.88468933105469,139.31275939941406,329.40582275390625,429.6950378417969
2023-07-13,187.90570068359375,134.3000030517578,123.44538879394531,139.9898223876953,334.7396240234375,433.1054992675781
2023-07-14,188.0536346435547,134.67999267578125,124.31764221191406,140.83612060546875,337.2599792480469,432.83575439453125
2023-07-17,191.3080291748047,133.55999755859375,123.5544204711914,144.23080444335938,337.7386779785156,434.3385925292969
